City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,port elizabeth,-33.918,25.5701,13.16,86,0,4.12,ZA,2024-08-08 22:49:26
112,cape coast,5.1053,-1.2466,22.66,92,97,4.13,GH,2024-08-08 22:49:28
113,lazaro cardenas,17.9583,-102.2,30.54,73,62,3.64,MX,2024-08-08 22:48:40
114,bredasdorp,-34.5322,20.0403,13.1,78,80,12.04,ZA,2024-08-08 22:49:30
115,vadso,70.0744,29.7487,15.49,66,6,1.54,NO,2024-08-08 22:49:32
116,gagra,43.3283,40.2239,20.51,67,0,2.78,GE,2024-08-08 22:49:33
117,enewetak,11.3474,162.3373,29.06,75,20,6.53,MH,2024-08-08 22:49:34
118,sur,22.5667,59.5289,27.46,74,54,5.17,OM,2024-08-08 22:49:35
119,touros,-5.1989,-35.4608,24.01,85,0,5.72,BR,2024-08-08 22:49:37
120,aydarken,39.9443,71.3429,18.44,33,0,1.93,KG,2024-08-08 22:49:38
121,bubaque,11.2833,-15.8333,26.55,82,100,6.26,GW,2024-08-08 22:49:39
122,harper,4.375,-7.7169,23.7,79,100,3.35,LR,2024-08-08 22:49:41
123,urangan,-25.3,152.9,17.85,80,63,5.45,AU,2024-08-08 22:49:42
124,howard springs,-12.497,131.047,22.15,40,15,3.83,AU,2024-08-08 22:49:44
125,albany,42.6001,-73.9662,18.86,82,99,1.34,US,2024-08-08 22:49:45
126,vilyuchinsk,52.9306,158.4028,14.15,99,100,2.03,RU,2024-08-08 22:49:46
127,fegyvernek,47.2667,20.5333,23.01,70,68,2.49,HU,2024-08-08 22:49:47
128,khandyga,62.6667,135.6,16.86,65,41,0.49,RU,2024-08-08 22:49:49
129,mar del plata,-38.0023,-57.5575,8.01,80,0,8.49,AR,2024-08-08 22:49:50
130,bonthe,7.5264,-12.505,24.47,83,100,3.29,SL,2024-08-08 22:49:51
131,st. john's,47.5649,-52.7093,18.97,71,79,1.28,CA,2024-08-08 22:47:45
132,whitehorse,60.7161,-135.0538,28.34,32,20,6.17,CA,2024-08-08 22:48:17
133,richmond,37.5538,-77.4603,25.18,97,100,3.6,US,2024-08-08 22:45:46
134,port alfred,-33.5906,26.891,13.43,95,14,3.64,ZA,2024-08-08 22:49:56
135,belyye berega,53.2085,34.6641,13.63,96,5,1.79,RU,2024-08-08 22:49:58
